REGION,CAPITAL,2020_2021_PRIMARY_SOURCE,2020_2021_SECONDARY_SOURCE_OR_COMMENT
Архангельская область,Архангельск ,http://www.arkh-edu.ru/olympics/vo/list.php?SECTION_ID=14171,no OCR; best to use http://www.arkh-edu.ru/upload/iblock/84d/Protokol.pdf
Астраханская область ,Астрахань ,http://minobr.astrobl.ru/stranica-podshivki/rezultaty-etapa,
Белгородская область ,Белгород ,http://olymp.beluno.ru/images/doc/2021/IP_rus_2021.pdf,
Брянская область ,Брянск ,http://www.hq.b-edu.ru/bank/a3/ker/jc/rezultaty-regionalnogo-jetapa-vsosh-po-russkomu-jazyku-2020-2021-uchebnogo-goda.pdf,
Владимирская область ,Владимир ,https://viro33.ru/deyatelnost/dopolnitelnoe-obrazovanie-detey/meropriyatiya-dlya-obuchayushchikhsya/raboty-pobediteley-prizerov-2021.php,no OCR; winners in separate files
Волгоградская область ,Волгоград ,https://olymp.volsu.ru/vos/russian/,winners at http://obraz.volgograd.ru/other/rabota-s-odarennymi-detmi/vserossiyskaya-olimpiada-shkolnikov/regionalnyy-etap-vserossiyskoy-olimpiady-shkolnikov/
Вологодская область ,Вологда ,https://olymp.viro.edu.ru/index.php/raspisanie/26-regionalnyj-etap/rezultaty,no OCR; winners at https://olymp.viro.edu.ru/images/%D0%BF%D0%94%D0%9E_%D0%BE%D1%82_27.01.21_165_%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9_%D1%8F%D0%B7%D1%8B%D0%BA.pdf
Воронежская область ,Воронеж ,https://vsosh-vrn.orioncentr.ru/2020-2021/,
Ивановская область ,Иваново ,https://www.iv-edu.ru/olympiad/regional-stage/works/files/%D0%A0%D1%83%D1%81%D1%81%D0%BA%D0%B8%D0%B9%20%D1%8F%D0%B7%D1%8B%D0%BA.PDF,no OCR
Иркутская область ,Иркутск ,https://irkobl.ru/sites/minobr/olimpiada/2021/1635_210317154637_001.pdf,no OCR; winners only
Калининградская область ,Калининград ,https://olymp.baltinform.ru/result/3052/208/212/?PAGEN_1=1,probably best data representation of all
Калужская область ,Калуга ,http://olymp.kalugaedu.ru/index.php?option=com_phocadownload&view=category&id=11&Itemid=74,
Кемеровская область — Кузбасс,Кемерово ,http://образование42.рф/documents/1609/,"maybe strange winners, http://образование42.рф/media/uploads/documents/prikaz_moin_vsos_russkij_azyk.pdf"
Кировская область ,Киров ,http://olimp43.ru/news/russian/2,problems with OCR; winners only
Костромская область ,Кострома ,http://cdoosh-k.ru/index.php/meropriyatiya/vserossijskaya-olimpiada-shkolnikov/regionalnyj-etap/241-2020-2021-uchebnyj-god/1148-regionalnyj-etap-pobediteli-i-prizjory,
